"","scale.rs.","scale.cs.","scale.ps."
"X1",0.0324171843035716,0.0155233687420072,0.0285386754132492
"X2",0.0291274212234205,0.00945847896296929,0.0261711666681692
"X3",0.0312995379452026,0.00720351514072279,0.0149601590305266
"X4",0.031432834565554,0.0141909071066256,0.0223732497044516
"X5",0.038886359837866,0.0171108615888944,0.026576272411767
"X6",0.0409746155359029,0.0175920615078257,0.0153627227593846
"X7",0.0260088507842383,0.00525639539668573,0.0227502043384342
"X8",0.0298887582185603,0.00739870748567023,0.0237281701962182
"X9",0.0284397920461147,0.012368948264079,0.0173968256911553
"X10",0.0370526760363527,0.0118804839882359,0.0163075461555126
"X11",0.0280501561815211,0.00774796657473915,0.0179290120363568
"X12",0.0291273871297623,0.00700890994748192,0.0155923660383435
"X13",0.0296654751411517,0.0105370136813178,0.0230196099107912
"X14",0.028685820562538,0.00984798603316705,0.0264399396285416
"X15",0.0318954020596331,0.00747977530566229,0.0234415945390275
"X16",0.0365472579208678,0.0165804171580078,0.0166068711786809
"X17",0.0266708019756862,0.00786861431468349,0.0243021459490986
"X18",0.0251787888014873,0.0053115868271823,0.0240577433603396
"X19",0.0310628442741828,0.0187146811065801,0.0169221294411229
"X20",0.0341119768037373,0.0146798528229254,0.0178954451067882
"X21",0.0391409774523689,0.0108701592561847,0.0100130245501371
"X22",0.032644252394775,0.00597192596314791,0.0126427746748772
"X23",0.0419038232951281,0.0122969950063951,0.0157239410843545
"X24",0.0339636907161469,0.00692094865651688,0.0156609142035936
"X25",0.029341024473688,0.00898343772639498,0.0128532547860187
"X26",0.0297580192504936,0.0108213977409017,0.0196303479546692
"X27",0.0349611263754926,0.0173250687624042,0.0227228883020067
"X28",0.0281028395584974,0.010637319448702,0.012835093880587
"X29",0.0325894352668681,0.0178435166914615,0.0197851703063497
"X30",0.0292068309351982,0.00989602652452723,0.0262271475013652
"X31",0.0370834555058615,0.00664739402170899,0.0151740400849587
"X32",0.0312221567328525,0.0146812612849708,0.0253106956120151
"X33",0.0318058382905702,0.00757652857595851,0.0191844371112892
