"","exp"
"1",0.535721863102078
"2",0.535871513737975
"3",0.53604461187268
"4",0.535136871807741
"5",0.540395710178587
"6",0.539007882930138
"7",0.540726803718239
"8",0.537246218012392
"9",0.537072639920461
"10",0.535648848711771
"11",0.542416163370946
"12",0.534388695867936
"13",0.53183109203636
"14",0.537070899254422
"15",0.538384967538462
"16",0.532028053453199
"17",0.544129113020349
"18",0.530049951289992
"19",0.541389592044687
"20",0.546902546181908
"21",0.532131977622095
"22",0.53201347356461
"23",0.541576047522691
"24",0.532697263878016
"25",0.533248947676304
"26",0.539182594153026
"27",0.53595029342819
"28",0.536022423625768
"29",0.537874791402048
"30",0.534901784800315
"31",0.536017052101618
"32",0.535128572425093
"33",0.544376493568178
"34",0.539718301751865
"35",0.541578277917278
"36",0.532207180291597
"37",0.543166150792932
"38",0.531840375084426
"39",0.53519521820451
"40",0.532559507681933
"41",0.536551617999747
"42",0.540084543296698
"43",0.535012618340308
"44",0.546295605229948
"45",0.537916940812672
"46",0.533917451905433
"47",0.534580267723395
"48",0.53380756978386
"49",0.537697598475378
"50",0.538433809680124
"51",0.534619983925073
"52",0.538278773822795
"53",0.540777409854416
"54",0.537444975008572
"55",0.53324519851209
"56",0.53238895788131
"57",0.538784779519534
"58",0.531068335156597
"59",0.535365276040419
"60",0.534020822856783
"61",0.535904786412383
"62",0.534755764797867
"63",0.531223695250429
"64",0.533819059709857
"65",0.53466045228488
"66",0.534962395003062
"67",0.537125805730552
"68",0.53607418312509
"69",0.541003259233466
"70",0.537517998179579
"71",0.531244144185364
"72",0.531818475069927
"73",0.537431714619159
"74",0.533852773059378
"75",0.533249290991763
"76",0.539847821029207
"77",0.541901615362105
"78",0.536114564891811
"79",0.536024790983554
"80",0.532785926410294
"81",0.536906092308436
"82",0.532155918421091
"83",0.537937026524688
"84",0.53476980115972
"85",0.535935569749957
"86",0.54057375103936
"87",0.535931825522657
"88",0.534786057749951
"89",0.537784331288584
"90",0.53762678692378
"91",0.538910832006851
"92",0.533979353373218
"93",0.536584373786778
"94",0.535719175284217
"95",0.539325827312102
"96",0.537393425474483
"97",0.535169872189407
"98",0.539293737848733
"99",0.537464335569757
"100",0.530058560380354
