"","exp"
"1",0.775721884104198
"2",0.770855410548088
"3",0.775617179870798
"4",0.772065708651589
"5",0.77453983967538
"6",0.768590031084857
"7",0.777502984523282
"8",0.776747007329406
"9",0.775978591254352
"10",0.769812346937378
"11",0.77238197595605
"12",0.768294385902915
"13",0.772027592380564
"14",0.769862402876786
"15",0.772903384645775
"16",0.772166945305962
"17",0.77628102564483
"18",0.774034703599082
"19",0.770374290713643
"20",0.769804952822673
"21",0.773924917022115
"22",0.770598980250323
"23",0.777026328682944
"24",0.776635132286304
"25",0.772071231525594
"26",0.772228257647279
"27",0.774939945079543
"28",0.775782771867273
"29",0.773842797311919
"30",0.767423534992938
"31",0.770084992773506
"32",0.774332632142207
"33",0.773015365879376
"34",0.770211131244925
"35",0.773866741365921
"36",0.776444622694265
"37",0.77473656169929
"38",0.771943254154337
"39",0.771174785226368
"40",0.775412114500739
"41",0.772121429330848
"42",0.779084236871986
"43",0.773566322702698
"44",0.767483992129518
"45",0.770046917353012
"46",0.774888987065399
"47",0.774080456619599
"48",0.775389781647253
"49",0.775438518139169
"50",0.774550990930735
"51",0.771927698342157
"52",0.773775935910351
"53",0.770753670948145
"54",0.770836388105897
"55",0.7767793945924
"56",0.778847765807383
"57",0.775213276541347
"58",0.775493363904567
"59",0.773204195327946
"60",0.771460740636449
"61",0.770948394345711
"62",0.77255985559121
"63",0.772019488386814
"64",0.770902104245928
"65",0.774922249902518
"66",0.773147413214692
"67",0.768765058754756
"68",0.777526645981119
"69",0.77422854166632
"70",0.770379852162882
"71",0.76907986810703
"72",0.771640729986322
"73",0.771661178084338
"74",0.772862794365233
"75",0.768812733194889
"76",0.774836741877604
"77",0.775206847666026
"78",0.771948120866011
"79",0.771990684975688
"80",0.777101984474628
"81",0.777670520809179
"82",0.772682984760086
"83",0.777849196566407
"84",0.77795857240256
"85",0.772663956338768
"86",0.772312821314184
"87",0.774509999132001
"88",0.772403636804906
"89",0.768528710373217
"90",0.778036860062313
"91",0.77282915159805
"92",0.770760180136614
"93",0.775076923579346
"94",0.772341336976548
"95",0.769991695157544
"96",0.773910761537028
"97",0.774496473384227
"98",0.775027240049432
"99",0.773435027366144
"100",0.773346838968338
