"","exp"
"1",1.11982521221003
"2",1.11407504793815
"3",1.10987789892444
"4",1.11258984011364
"5",1.12137163565751
"6",1.11203586601207
"7",1.11275572688232
"8",1.11448323620076
"9",1.11456313944242
"10",1.11017509595289
"11",1.11291185747142
"12",1.1150941619874
"13",1.11490957096806
"14",1.11488262462022
"15",1.12317118969472
"16",1.1106490624991
"17",1.11065162792174
"18",1.12200729015904
"19",1.11572080131642
"20",1.11988408342826
"21",1.12089899858741
"22",1.11365883306128
"23",1.11513329570243
"24",1.10980579170059
"25",1.11644807086156
"26",1.11351641356192
"27",1.1166005470849
"28",1.11376214109465
"29",1.11009039776717
"30",1.11502573158439
"31",1.11348793186961
"32",1.11791704224827
"33",1.11125036654857
"34",1.11786497794793
"35",1.11303282498136
"36",1.11596055838752
"37",1.11640261739761
"38",1.11524719331936
"39",1.1169878741325
"40",1.11459913064856
"41",1.11386254450789
"42",1.11216613893687
"43",1.12274588271645
"44",1.12091123245968
"45",1.11952280791131
"46",1.11197072762871
"47",1.11603474246323
"48",1.1139572298968
"49",1.11919186887903
"50",1.11282961940711
"51",1.11691345753485
"52",1.11843516469688
"53",1.11412838457208
"54",1.12320924443978
"55",1.11528066190203
"56",1.11291316233026
"57",1.11004844864154
"58",1.11510639000379
"59",1.11485991720933
"60",1.1194828558972
"61",1.11657587005221
"62",1.11644077963767
"63",1.11055698518137
"64",1.11673724875175
"65",1.11506833850048
"66",1.12026062428269
"67",1.11609105197028
"68",1.1129837441143
"69",1.11590468533831
"70",1.1148361000613
"71",1.11643703222096
"72",1.11340003481963
"73",1.11330655168585
"74",1.11146586525401
"75",1.10686220804724
"76",1.11582304638515
"77",1.11354824337372
"78",1.11226619088423
"79",1.11721316925585
"80",1.11170180202327
"81",1.10968062879498
"82",1.12440409658097
"83",1.10972055302472
"84",1.11259524521002
"85",1.1207175252728
"86",1.11661528357333
"87",1.11127760801552
"88",1.11529516995304
"89",1.10556120587448
"90",1.11650952005918
"91",1.11297382261141
"92",1.11149163080023
"93",1.11604732135041
"94",1.11463138817987
"95",1.1159100546936
"96",1.11705443971382
"97",1.1171482072213
"98",1.1119641960233
"99",1.11813017987179
"100",1.11571384354609
