"","exp"
"1",1.52284189394593
"2",1.52812269027848
"3",1.51865450623683
"4",1.52389149312041
"5",1.52344373405151
"6",1.52164938049414
"7",1.52362940779439
"8",1.52256305546071
"9",1.52669992879062
"10",1.52252091232454
"11",1.52209178239374
"12",1.52168574928566
"13",1.52338056996144
"14",1.52186050823061
"15",1.52192498953618
"16",1.52349944356158
"17",1.5148841074149
"18",1.51872266230666
"19",1.52171909832578
"20",1.51979349311479
"21",1.51960265283124
"22",1.51881708025461
"23",1.52211312856477
"24",1.52445280120856
"25",1.52373170826898
"26",1.52260459178166
"27",1.52496732546663
"28",1.52288622980044
"29",1.52913792770454
"30",1.52110289879892
"31",1.52192411706643
"32",1.52160173792397
"33",1.52608442955841
"34",1.52816594515708
"35",1.52615094992977
"36",1.52408590662203
"37",1.52482714619661
"38",1.52268031313039
"39",1.52609484868602
"40",1.52598462108963
"41",1.52479782028553
"42",1.52275914475681
"43",1.51864950009894
"44",1.51770770285065
"45",1.5204345617555
"46",1.52310911209249
"47",1.52144996911503
"48",1.52217025265841
"49",1.52685632218342
"50",1.52444925502154
"51",1.52219650726572
"52",1.52210411309373
"53",1.52325957448963
"54",1.52246647865838
"55",1.51836766420159
"56",1.52478310416237
"57",1.51879181921733
"58",1.52696182945126
"59",1.52342481270239
"60",1.52845320303488
"61",1.52401839590758
"62",1.5239054492053
"63",1.52269813086015
"64",1.52196397276528
"65",1.52700863547553
"66",1.51888576785346
"67",1.52377426870815
"68",1.52277194429068
"69",1.52128661350223
"70",1.53076291156582
"71",1.52492093706434
"72",1.52281798084366
"73",1.52263978292621
"74",1.52834551806985
"75",1.51952134553208
"76",1.52769312173358
"77",1.51511971543184
"78",1.52049732883361
"79",1.52368972948818
"80",1.52613247843293
"81",1.52584846613776
"82",1.52251027726327
"83",1.52242792339488
"84",1.52335463854685
"85",1.51956587166009
"86",1.52410511865681
"87",1.52401681469131
"88",1.52417020702211
"89",1.52631626244672
"90",1.52504751297385
"91",1.52261303461236
"92",1.52336862552335
"93",1.5305076052548
"94",1.52497347205521
"95",1.52210367686258
"96",1.5274912039798
"97",1.52292841952441
"98",1.51942942150467
"99",1.52836139382564
"100",1.52435283507788
