"","scale.rs.","scale.cs.","scale.ps."
"X1",0.0298324606513754,0.0561687203090248,0.0242513676672411
"X2",0.0289729683419113,0.0477956993568854,0.0152858373717593
"X3",0.0464177551032053,0.0366378667671334,0.0253670819344612
"X4",0.0405682742113775,0.0350082110262591,0.0218589151219636
"X5",0.0399283727926982,0.0481498600641666,0.0236693606229695
"X6",0.0342527166815211,0.0535076191754246,0.0101338444713148
"X7",0.0430280812277646,0.0321111328776285,0.0313943872728384
"X8",0.030773323649139,0.0397951559943909,0.0184725212611655
"X9",0.0356186249795788,0.0293990798951005,0.0171858468930107
"X10",0.032155958440464,0.0436582819823428,0.0181350697591752
"X11",0.0389230028375903,0.0469258557775648,0.02363507981164
"X12",0.0336925916294394,0.0350812360930845,0.0149177911952109
"X13",0.0457469507331244,0.0454350678467562,0.0264344070713763
"X14",0.0402381927463827,0.0320842240864851,0.0180181717236137
"X15",0.0372846435604739,0.0275770931696178,0.0229459207302794
"X16",0.0289102075457509,0.0577041144857871,0.013777422623366
"X17",0.0372046244702732,0.0550548218374068,0.0283642232908413
"X18",0.0318302839562041,0.0408981170464657,0.0190497545493102
"X19",0.0425769347992151,0.0339495929720723,0.0167680495344493
"X20",0.0360262618961469,0.0373034601527489,0.0170127216789296
"X21",0.0362738663773518,0.0504030029660769,0.0170438037135091
"X22",0.0362205330032454,0.0428391411995979,0.0241098627295556
"X23",0.032535880459563,0.0440421637111466,0.0209310669233733
"X24",0.0407360045869156,0.0375174128741593,0.0167130026378407
"X25",0.0377240864377541,0.0434870051540737,0.0191242754683607
"X26",0.0345457970051599,0.0450557124830892,0.0151926640950856
"X27",0.0389499604403518,0.0331684510935929,0.0173142711726965
"X28",0.0391746986084468,0.0452751201213941,0.0183628382311095
"X29",0.0379881747966278,0.0451049203911567,0.0120877127639755
"X30",0.0337467277411432,0.041738741543988,0.0204820227884604
"X31",0.0322061892257614,0.0356240326073732,0.0153284889915323
"X32",0.0310809797325287,0.0420599238483183,0.0213818390935541
"X33",0.0341968662490535,0.0392511497305358,0.0216233091408979
"X34",0.0324798885450362,0.0356730605607268,0.022172344202813
"X35",0.0389556334065023,0.0447477397054565,0.0152764269370573
"X36",0.0382684323988429,0.0335389592149592,0.0162638578455543
"X37",0.0351055021140126,0.0411796339881935,0.0216904331743542
"X38",0.0416096815305455,0.0410071408423723,0.0232714495876508
"X39",0.0347402214613239,0.0410668571079567,0.0146461616510391
"X40",0.0342310694379759,0.0432200917805964,0.0149228169850666
"X41",0.037762945555799,0.0421170438133819,0.0220190152909764
"X42",0.04231697340518,0.0373387062741588,0.0214626872082449
"X43",0.0367228488183845,0.0477822526783179,0.0184907641635883
"X44",0.0338023678890925,0.0455202160359728,0.0219511000870092
"X45",0.0383234542451837,0.0430193144076318,0.0171600359205608
"X46",0.0298679128248225,0.0345576431920826,0.0171439940219857
"X47",0.0388074950389648,0.040055480542359,0.0254952784786098
"X48",0.0440229096169033,0.0300293496286441,0.0205244681521812
"X49",0.036039201215668,0.035054616040604,0.00949733501403131
"X50",0.0378231522221229,0.0432345995919706,0.0268253416683764
"X51",0.0354237494826879,0.046522965320676,0.0193682641145427
"X52",0.0376494116513556,0.0386883809770143,0.020250919257585
"X53",0.0383365052717384,0.0350331017515264,0.0209425640279177
"X54",0.0291902101723554,0.0456068468357195,0.0239599993352324
"X55",0.0324372562531772,0.032495647103789,0.0133141485555658
"X56",0.0284498589391688,0.0389671344223779,0.0145890046145062
"X57",0.0318251424516238,0.0293860486286716,0.016980277252608
"X58",0.0425505220940471,0.0437932015136212,0.0225875792911607
"X59",0.0406349655812494,0.0369199125778776,0.0220635717892085
"X60",0.0396841721479411,0.0298396761634901,0.0201140444019572
"X61",0.0323021785577508,0.0426711201977628,0.0215457871394982
"X62",0.0365020319484459,0.0304757354984364,0.0159595848055196
"X63",0.0475028694230702,0.0445078757404587,0.019781142085119
"X64",0.0300042908586625,0.0438722964330151,0.024606609419898
"X65",0.0337441810920893,0.0350654566136175,0.0208228266038033
"X66",0.0388992260125927,0.0424070301707027,0.0230520233722352
"X67",0.0303837795251461,0.0393154836192827,0.0176981549161814
"X68",0.0372516706684593,0.040734433501614,0.017737373371551
"X69",0.0321813353961172,0.0388370894165907,0.0189599230751913
"X70",0.0385921578858557,0.0283981057527356,0.0228823259794717
"X71",0.0375630369941014,0.0470512800275383,0.020601217531025
"X72",0.0390217737984334,0.0427887338181681,0.0241413790464995
"X73",0.0294953151480541,0.0317863667766746,0.0236692928457204
"X74",0.0273108712868717,0.0531217137631322,0.0275754258196862
"X75",0.0313975560349912,0.0554249082575423,0.0255430566151633
"X76",0.0312327167324084,0.038681884608018,0.0180386124465423
"X77",0.0373092017102477,0.0473643516631879,0.0183350873044476
"X78",0.0361863943657946,0.0397362308716186,0.0211231779037688
"X79",0.0400704659086502,0.0416153134659367,0.0220121687963571
"X80",0.0244699403829214,0.0396147839573847,0.022330980103636
"X81",0.0292865744259765,0.0516961449655667,0.017890532054507
"X82",0.0373987794930043,0.0277716544294387,0.0244278795763992
"X83",0.0367959537742899,0.037431013447695,0.0280406618921378
"X84",0.0428119487983632,0.0386560736868258,0.0239795244798185
"X85",0.0354781818214336,0.0419082033299946,0.01928372986136
"X86",0.0395974111386075,0.0425468467998529,0.0193979233688091
"X87",0.0364967434593888,0.0498373585766356,0.015244996147055
"X88",0.0388305044118358,0.0438798588211344,0.0180601042002377
"X89",0.0326572270707732,0.0431699597747837,0.0189987816453258
"X90",0.0413271228845052,0.0386777239086001,0.0250349779368616
"X91",0.0342089780154476,0.0439485893426691,0.0115852651221791
"X92",0.029331787963915,0.036245687535994,0.0215991925485503
"X93",0.0407422595020254,0.0358469651609844,0.0226156161135745
"X94",0.0450963427108164,0.0382368789552882,0.0217484069041986
"X95",0.0315666671414806,0.0426219377547294,0.0250047786567776
"X96",0.0344678953101246,0.0287796421376304,0.0116936469797512
"X97",0.0274282901205998,0.0439258457101592,0.0260042567414981
"X98",0.0363626762899813,0.0366857482481233,0.0247915572242887
"X99",0.0377427438777855,0.0391748272338016,0.0108193101511384
"X100",0.0402758165250541,0.0439773230087706,0.0132794897300987
