"","partner_sw2"
"1",0.385826771653543
"2",1.23307086614173
"3",0.456692913385827
"4",0.300787401574803
"5",0.488188976377953
"6",2.40629921259843
"7",1.0992125984252
"8",1.99212598425197
"9",1.0992125984252
"10",0.603149606299213
"11",0.262992125984252
"12",0.878740157480315
"13",0.552755905511811
"14",0.177952755905512
"15",0.0204724409448819
"16",0.61259842519685
"17",0.533858267716535
"18",0
"19",0.44251968503937
"20",0
"21",0.0677165354330709
"22",0.0062992125984252
"23",0.0850393700787402
"24",1.81102362204724
"25",1.89606299212598
"26",0
"27",0.198425196850394
"28",0
"29",0
"30",0
"31",0
