"","scale.rs.","scale.cs.","scale.ps."
"X1",0.0259906250598053,0.0478883824270525,0.0203685154789245
"X2",0.0247610357997897,0.040658168700208,0.0132103156125781
"X3",0.0400269573079483,0.0305702479027166,0.0212967378565188
"X4",0.0343304458350778,0.0298415933210017,0.0183371853394898
"X5",0.0338338071334012,0.0402140881989747,0.0201603461734835
"X6",0.0291911907805705,0.0452290024460151,0.00862160581571459
"X7",0.036789292201647,0.02752974872801,0.026325568817415
"X8",0.0266319746690453,0.0333609118488555,0.0156286687497682
"X9",0.0304522896647037,0.0251080768094328,0.0149173633299846
"X10",0.0274164395782148,0.0373326164914937,0.015098691222738
"X11",0.0329501404570995,0.0397473617539907,0.0202679939903107
"X12",0.0287531647359308,0.0295287243748847,0.0124887531143983
"X13",0.0386866217805779,0.0384150533306161,0.0223014470173367
"X14",0.0341001175025758,0.0271525597648532,0.0149124006326187
"X15",0.0318982632327434,0.0233147223790619,0.0195521832046066
"X16",0.0246139936358707,0.0488869596435158,0.0115160342183186
"X17",0.0310115407388199,0.0474429624065097,0.0237503327050524
"X18",0.0271921185206796,0.0342524379697982,0.0166123637866944
"X19",0.0365827165345103,0.029080367204687,0.0145451242078216
"X20",0.0309281834621388,0.0315175093287638,0.0143899940472769
"X21",0.0309008669597554,0.0429443904983554,0.0146848888087844
"X22",0.0312958935896299,0.0363308732006268,0.0203545585785325
"X23",0.0279914149025756,0.037358598305552,0.0177415159333761
"X24",0.0353134801108429,0.0320030311513324,0.0139274621780207
"X25",0.0323269640979845,0.036819765396821,0.016263515866099
"X26",0.0294416459333732,0.0379600761183254,0.0127370408490897
"X27",0.0334020109990479,0.0280637484182074,0.0146810604913552
"X28",0.0330608902528865,0.0386540371394972,0.015508304768304
"X29",0.032455466333883,0.0378881665493925,0.0102478897535216
"X30",0.028842250974739,0.0353752878710611,0.0172440982050975
"X31",0.0273169846732661,0.0303777647210457,0.0128927462987779
"X32",0.0263738803240509,0.0359350232144923,0.0184849283233427
"X33",0.029164756756707,0.0329786294015457,0.0184814221040459
"X34",0.0269524799951806,0.0306524109727888,0.0187123005352309
"X35",0.0331131797093929,0.0380209592407955,0.0130441859154183
"X36",0.0329819639409182,0.027953123885171,0.0137632342877559
"X37",0.0301379626235416,0.0350956522794645,0.0185166246143751
"X38",0.0352648563559531,0.0353842610394012,0.0197764584984484
"X39",0.0300678109204036,0.0347712183194669,0.0125344526791739
"X40",0.0291478750350882,0.0364057521766506,0.0120766618487259
"X41",0.0322474385522079,0.0351667955919515,0.0184882373132656
"X42",0.0359475612578118,0.0318429449769144,0.0184516038677402
"X43",0.0319188989324587,0.0402324279739139,0.0160758246199192
"X44",0.0284577316753978,0.0392645955807205,0.018743873472983
"X45",0.0323920222871407,0.0367199281696643,0.0144954527686352
"X46",0.0256499058227143,0.0290060701656704,0.0149237825895619
"X47",0.032898718145933,0.0337385349348836,0.0214019255896346
"X48",0.0371646385345323,0.0254698413900408,0.0172025585557322
"X49",0.0308850386443792,0.0293440109499755,0.00814726532237297
"X50",0.0321416692451729,0.0361310187008754,0.0228537711104874
"X51",0.0303753644184361,0.0396725046860713,0.0164583935484632
"X52",0.0322920269040748,0.0327419697204131,0.0168499072662006
"X53",0.0329000860041498,0.0292960376758619,0.0175957198890372
"X54",0.0252879255590766,0.0386117658303049,0.0201858598332078
"X55",0.0276071008495589,0.0277296483784112,0.0112213178975849
"X56",0.0241135750466515,0.0329713271291355,0.0125096611665594
"X57",0.0268989148143696,0.0254569332511557,0.0144181023003822
"X58",0.036556792383697,0.0364798349290673,0.0194099776180022
"X59",0.0345008231496484,0.0316078200394853,0.0182769979294495
"X60",0.033247991381733,0.0253236639654866,0.0168518259677201
