"","exp"
"1",0.586884840935093
"2",0.589295994381327
"3",0.579879332943351
"4",0.580962977567148
"5",0.580064142496254
"6",0.585220150342574
"7",0.58026086049664
"8",0.589991786491252
"9",0.588913680857576
"10",0.581711649199247
"11",0.586914683265672
"12",0.589195798599765
"13",0.589266584821956
"14",0.581900367143006
"15",0.580974441871027
"16",0.579279502194003
"17",0.585874019240984
"18",0.587855057475285
"19",0.58652454954315
"20",0.579986654455473
"21",0.583608773092151
"22",0.5825744271324
"23",0.587045453799445
"24",0.58342740054859
"25",0.585076863057336
"26",0.58039365749545
"27",0.585555054553746
"28",0.587798484479362
"29",0.582417723894828
"30",0.585560574819251
"31",0.585060609725013
"32",0.587503737631665
"33",0.588435006863978
"34",0.588247868514033
"35",0.586324991051873
"36",0.589572440788976
"37",0.584303394771345
"38",0.580097510236444
"39",0.571673861174582
"40",0.58226862610924
"41",0.573085023078948
"42",0.577335945528437
"43",0.583769533291244
"44",0.583236426795928
"45",0.591917979941137
"46",0.590056597549391
"47",0.582976705962642
"48",0.587946515692761
"49",0.587789737054734
"50",0.589426790027966
"51",0.586937120902495
"52",0.590164230779953
"53",0.584052553282443
"54",0.583807993498412
"55",0.582517661155235
"56",0.578544421455358
"57",0.584312256636803
"58",0.582016182755875
"59",0.583594293374757
"60",0.580232699815489
"61",0.582656300062624
"62",0.583740897230884
"63",0.580825933765977
"64",0.581265154697482
"65",0.588010938558875
"66",0.585037424976524
"67",0.582844230472281
"68",0.585603571649052
"69",0.578868361187327
"70",0.582316096455677
"71",0.58223065791117
"72",0.578442235836629
"73",0.586315725963565
"74",0.583183893022431
"75",0.586310299117875
"76",0.586442201802878
"77",0.578775415811457
"78",0.576937865546206
"79",0.586070465676227
"80",0.588055100953195
"81",0.587625113702761
"82",0.582735490646944
"83",0.581119243538494
"84",0.577564519563023
"85",0.584647388356367
"86",0.577645359850349
"87",0.580360605397022
"88",0.580916112271081
"89",0.585679351676152
"90",0.582673327410028
"91",0.583599331675707
"92",0.574861641260361
"93",0.583356890954964
"94",0.576688902667942
"95",0.586380576344641
"96",0.586442619973155
"97",0.584243880602904
"98",0.580499749607975
"99",0.582534979727561
"100",0.583901501368868
