"","exp"
"1",0.512284984665966
"2",0.512678983007607
"3",0.503365685971617
"4",0.515054267102232
"5",0.510356248390246
"6",0.510308884568526
"7",0.506728861412483
"8",0.517212654111108
"9",0.516629885422839
"10",0.50392396652875
"11",0.509041851949467
"12",0.516305767836719
"13",0.511367783087876
"14",0.513455849993873
"15",0.515466648903747
"16",0.513712945037531
"17",0.512815807507403
"18",0.514396972440946
"19",0.512488378343902
"20",0.514184011957949
"21",0.510551073599203
"22",0.508891890446401
"23",0.51673811066543
"24",0.512142581649783
"25",0.512824521445494
"26",0.508055798016834
"27",0.518944692421566
"28",0.514010432180996
"29",0.51176145952705
"30",0.513576872034591
"31",0.50976968863182
"32",0.514823579893573
"33",0.511039384391935
"34",0.511449004989548
"35",0.515628546373517
"36",0.517688195805889
"37",0.51277406581062
"38",0.507478734812465
"39",0.51275539441472
"40",0.51203041443357
"41",0.519577526616038
"42",0.514387869871482
"43",0.510304152688454
"44",0.505380501589851
"45",0.508548887053605
"46",0.509618578775019
"47",0.505351280052951
"48",0.513027454168275
"49",0.514337248471784
"50",0.515450591124912
"51",0.513584623668177
"52",0.510792227012749
"53",0.508134300971824
"54",0.512506742926065
"55",0.512588329196448
"56",0.513674637664022
"57",0.510093226920601
"58",0.510863596154976
"59",0.518065257439191
"60",0.51293894744081
"61",0.513067032856702
"62",0.516251465984518
"63",0.513399221220457
"64",0.50756546371603
"65",0.515932577696875
"66",0.513720615967438
"67",0.515109188620955
"68",0.511657625676457
"69",0.50976024874657
"70",0.506767022176501
"71",0.506756833409934
"72",0.521372755977477
"73",0.516843969805134
"74",0.512167829705258
"75",0.519281610396696
"76",0.509932769970151
"77",0.506705536891275
"78",0.50856912438445
"79",0.512640810913067
"80",0.510946168090614
"81",0.520216373301999
"82",0.511930447719552
"83",0.511871335967529
"84",0.511132988041532
"85",0.510924986403171
"86",0.515370031596325
"87",0.508568304067681
"88",0.511785224947555
"89",0.506946668548327
"90",0.513780907825627
"91",0.508610555775986
"92",0.505475325111688
"93",0.509330048430764
"94",0.515970136386807
"95",0.513583215559774
"96",0.508939391186423
"97",0.514117112788658
"98",0.517262648025468
"99",0.513236996423202
"100",0.51527270466252
