donor,receiver,one-way,two-way,crossed out,underlined,notes
535,570,0,2,0,0,
535,583,0,1,0,0,
535,836,0,1,0,0,
535,978,1,0,1,1,
535,791,0,1,0,0,
535,878,7,0,0,1,
535,793,0,1,0,0,
570,535,0,2,1,0,
570,571,0,2,0,0,
570,572,1,0,0,1,
570,577,5,8,0,1,
570,589,1,4,0,1,
570,599,1,11,0,1,
570,766,0,3,0,0,
570,788,1,0,0,1,
570,933,9,0,0,1,
570,791,2,0,0,1,
570,793,8,6,0,1,
570,101,1,0,1,1,
571,570,0,2,1,0,
571,572,0,9,0,0,
571,577,0,1,0,0,
571,578,0,1,0,0,
571,583,0,8,0,0,
571,589,2,4,0,1,
571,599,0,1,0,0,
571,765,0,8,0,0,
571,766,0,3,0,0,
571,788,1,7,0,1,
571,837,0,1,0,0,
571,881,1,2,0,1,
571,960,1,2,0,1,
571,961,10,32,0,1,
571,978,40,20,0,1,
571,791,0,1,0,0,
571,984,1,0,0,1,
571,111,2,0,0,1,"Page cuts data, may be inaccurate"
572,571,4,9,0,1,
572,577,0,1,0,0,
572,578,9,19,0,1,
572,583,0,3,0,0,
572,788,8,22,0,1,
572,881,14,3,0,1,
572,979,1,0,1,1,
572,998,3,0,1,1,
572,838,1,0,0,1,
572,793,1,0,0,1,
577,570,2,8,0,1,
577,571,0,1,0,0,
577,572,0,1,0,0,
577,578,0,1,0,0,
577,583,1,1,0,1,
577,589,1,3,0,1,
577,599,1,8,0,1,
577,766,0,1,0,0,
577,788,0,1,0,0,
577,836,0,1,0,0,
577,791,0,1,0,0,
577,793,1,0,0,1,
577,101,2,0,1,1,
578,571,1,1,0,1,
578,572,11,19,0,1,
578,577,0,1,0,1,
578,766,0,3,0,0,
578,788,2,25,0,1,
578,881,0,2,0,0,
578,933,1,0,0,1,
578,960,44,42,0,1,
578,963,1,0,0,1,
578,979,1,0,1,1,
578,998,17,3,1,1,
578,793,0,2,0,0,
578,111,1,0,0,1,
583,535,0,1,0,0,
583,571,1,8,0,0,
583,572,0,3,0,0,
583,577,0,1,0,0,
583,589,13,45,0,0,
583,765,0,7,0,0,
583,766,2,6,0,0,
583,881,0,2,0,0,
583,960,0,4,0,0,
583,963,8,0,0,0,
583,791,1,5,0,0,
583,984,53,23,0,0,
583,111,11,26,0,0,
589,570,1,4,0,0,
589,571,1,4,0,0,
589,577,0,3,0,0,
589,578,2,0,0,0,
589,583,5,45,0,0,
589,599,2,6,0,0,
589,765,0,3,0,0,
589,766,0,2,0,0,
589,963,36,12,0,0,
589,791,16,45,0,0,
589,793,0,5,0,0,
589,111,1,3,0,0,
599,570,0,11,0,0,
599,571,0,1,0,0,
599,577,2,8,0,0,
599,589,0,6,0,0,
599,766,1,2,0,0,
599,791,0,1,0,0,
599,793,0,17,0,0,
599,222,1,0,1,0,
765,571,1,8,0,0,
765,578,1,0,0,0,
765,583,3,7,0,0,
765,589,1,3,0,0,
765,766,0,1,0,0,
765,881,0,1,0,0,
765,960,0,1,0,0,
765,978,1,0,0,0,
765,979,14,6,0,0,
765,838,6,8,0,0,
765,791,0,1,0,0,
765,793,0,1,0,0,
766,570,0,3,0,0,
766,571,0,3,0,0,
766,577,0,1,0,0,
766,578,1,3,0,0,
766,583,0,6,0,0,
766,589,0,2,0,0,
766,599,0,2,0,0,
766,765,0,1,0,0,
766,837,0,2,0,0,
766,881,0,1,0,0,"Page cuts data, may be inaccurate"
766,961,0,1,0,0,
766,791,1,2,0,0,
788,570,1,0,0,0,
788,571,4,7,0,0,
788,572,9,22,0,0,
788,577,0,1,0,0,
788,578,10,25,0,0,
788,583,1,0,0,0,
788,765,1,0,0,0,
788,766,1,0,0,0,
788,836,0,1,0,0,
788,881,2,6,0,0,
788,933,1,0,0,0,
788,960,0,2,0,0,
788,998,1,0,0,0,
788,984,1,0,0,0,
788,111,1,0,0,0,
836,535,0,1,0,0,
836,571,1,0,0,0,
836,577,0,1,0,0,
836,788,0,1,0,0,
836,837,0,1,0,0,
836,793,0,1,0,0,"Page cuts data, may be inaccurate"
837,571,0,1,0,0,
837,766,0,2,0,0,
837,836,0,1,0,0,
837,791,0,1,0,0,
881,571,0,2,0,0,
881,572,1,3,0,0,
881,578,2,2,0,0,
881,583,2,2,0,0,
881,765,0,1,0,0,
881,766,0,1,0,0,
881,788,0,6,0,0,
881,960,0,2,0,0,
881,978,1,0,0,0,
881,979,0,1,0,0,
881,998,1,0,0,0,
881,791,0,1,0,0,
960,571,1,2,0,0,
960,578,27,42,0,0,
960,583,2,4,0,0,
960,765,0,1,0,0,
960,788,1,2,0,0,
960,881,0,2,0,0,
960,933,1,0,0,0,
960,961,1,1,0,0,
960,963,1,0,0,0,
960,979,1,0,0,0,
960,998,4,0,0,0,
960,791,0,1,0,0,
960,984,2,1,0,0,
961,571,7,32,0,0,
961,766,0,1,0,0,
961,960,0,1,0,0,
961,978,8,1,0,0,"Page cuts data, may be inaccurate"
963,583,5,0,0,0,
963,589,7,12,0,0,
963,978,2,1,0,0,
963,791,7,6,0,0,
963,984,3,1,0,0,
978,571,5,0,0,0,
978,961,7,12,0,0,
978,963,2,1,0,0,
978,791,7,6,0,0,
978,984,3,1,0,0,
979,765,1,6,0,0,979 crossed out
979,881,0,1,0,0,979 crossed out
998,578,0,3,0,0,998 crossed out
838,578,1,0,0,0,
838,583,2,0,0,0,
838,589,1,0,0,0,
838,765,1,8,0,0,
838,960,3,0,0,0,
838,963,1,0,0,0,
838,979,3,0,0,0,
838,791,1,2,0,0,
838,984,2,0,0,0,
838,793,0,8,0,0,
791,535,0,1,0,0,
791,570,1,0,0,0,
791,571,3,1,0,0,
791,577,0,1,0,0,
791,583,11,5,0,0,
791,589,27,45,0,0,
791,599,2,1,0,0,"Page cuts data, may be inaccurate"
791,765,1,1,0,0,
791,766,1,2,0,0,
791,788,1,0,0,0,
791,837,0,1,0,0,
791,881,1,1,0,0,
791,933,1,0,0,0,
791,960,0,1,0,0,
791,963,5,6,0,0,
791,978,1,0,0,0,
791,838,0,2,0,0,
791,984,2,0,0,0,
791,793,2,0,0,0,
791,111,2,4,0,0,
574,583,1,0,0,0,574 crossed out
984,578,2,0,0,0,
984,583,10,23,0,0,
984,589,3,0,0,0,
984,960,0,1,0,0,
984,963,2,1,0,0,
984,978,0,3,0,0,
984,791,2,0,0,0,
984,111,1,1,0,0,
878,570,1,0,0,0,
111,583,14,26,0,0,
111,589,2,3,0,0,
111,791,0,4,0,0,
111,984,3,1,0,0,
111,793,0,1,0,0,
