"","bat","n","cs","ps","ps2"
"1","add",21,0.0204841713221601,0.719789842381786,0.726061395752866
"2","addld",16,0.068901303538175,0.484320557491289,0.42791817087846
"3","addldd",22,0.0558659217877095,0.653409090909091,0.645376723206912
"4","adld",23,0.0670391061452514,0.75111441307578,0.755273734145156
"5","adldd",21,0.0217256362507759,0.74671669793621,0.735154173312068
"6","aldd",4,0.031657355679702,0.130434782608696,0.0952380952380952
"7","ax",23,0.0540037243947858,0.790880503144654,0.817965151023212
"8","bd",23,0.0496585971446307,0.718117408906883,0.729568686113189
"9","bdlx",21,0.0248292985723153,0.75046904315197,0.700643500643501
"10","bes",22,0.0422098075729361,0.713870733478577,0.67752121996835
"11","bey",23,0.0198634388578523,0.719676549865229,0.823115349682107
"12","blx",19,0.0484171322160149,0.626903553299492,0.740682414698163
"13","bs",23,0.042830540037244,0.798105682951147,0.799504152881169
"14","bscs",22,0.0353817504655493,0.744897959183674,0.743775090314668
"15","bxdlx",18,0.042830540037244,0.764705882352941,0.76513088797733
"16","bxx",17,0.0657976412166356,0.684210526315789,0.618868355007985
"17","cdw",22,0.0490378646803228,0.65139116202946,0.641232191801452
"18","cfd",20,0.0564866542520174,0.774509803921569,0.871127835951134
"19","cldw",23,0.0912476722532588,0.738525730180807,0.684710550887021
"20","clw",23,0.0918684047175667,0.787878787878788,0.76127978497438
"21","clwd",20,0.0626939788950962,0.436619718309859,0.376029526029526
"22","cnone",22,0.0626939788950962,0.693152454780362,0.670904589363246
"23","cwd",3,0.00682805710738672,0.375,0.5
"24","cww",20,0.0248292985723153,0.710084033613445,0.682112605879422
