"","scale.rs.","scale.cs.","scale.ps."
"X1",0.0446086093665659,0.0535395105387523,0.0338061988661268
"X2",0.0519945571970868,0.0612552294738058,0.041344034540942
"X3",0.0425944801246945,0.0575864022224968,0.0342466917868154
"X4",0.0502785023770098,0.07012557514996,0.0338802373582112
"X5",0.0351263883145723,0.0450547015712326,0.0430932871137645
"X6",0.0489698496671001,0.058390615640622,0.0280705264254084
"X7",0.0342222371524618,0.0448400395522797,0.0449755447325865
"X8",0.0328552713562505,0.0565918472915098,0.0491790664924836
"X9",0.0381296524044594,0.0382015177480378,0.0531302673080799
"X10",0.0308229683490062,0.0565382598114907,0.052161475186666
"X11",0.0296373816252492,0.0480464458113603,0.0391724134341707
"X12",0.0386866433113678,0.0501342900129315,0.0384056699606146
"X13",0.0442750620944635,0.0393011830926202,0.0267805298100594
"X14",0.0447850502014603,0.0514089355203798,0.0187024185724176
"X15",0.0449255612717299,0.031152149680794,0.0390227877046284
"X16",0.0380729862972586,0.042657526515759,0.0364378233063894
"X17",0.0422338392945948,0.0622906309082855,0.0249514474386039
"X18",0.0436773501775317,0.0555622545312048,0.0409182935635801
"X19",0.0399797991458324,0.0417155787324166,0.0474778532088461
"X20",0.0336421130623854,0.0643432038928131,0.0393527117035357
"X21",0.0443448448354352,0.0407656977319359,0.0318671881023194
"X22",0.0346238518295619,0.0475866640552106,0.0324527236727753
"X23",0.0306930081207662,0.0603377953775133,0.0448993215595765
"X24",0.0319872833723863,0.0416044739320944,0.0430724542905833
"X25",0.0371436018800563,0.0500554983000856,0.0437017165374503
"X26",0.0279526060250608,0.0388430905056011,0.0369193821394345
"X27",0.0466949056022196,0.068320569519638,0.0437031652641575
"X28",0.0364975224963402,0.0520168320262732,0.0453067064305155
"X29",0.038128079630789,0.0478174029740651,0.0293657848469817
"X30",0.05164546201164,0.0307477032962796,0.0361293775015679
"X31",0.043619535097392,0.0473797632907116,0.0415628776981877
"X32",0.0282141795347026,0.0401990413913743,0.0407574860516037
"X33",0.0502671100388978,0.0538828744283034,0.0490883990845843
"X34",0.0566918945513774,0.0579681210866775,0.0299420902655801
"X35",0.0363729111682337,0.0418533953183692,0.0403456610811256
"X36",0.0329133247665412,0.0262031318054058,0.0404921731921984
"X37",0.0429436244449092,0.0365297720206963,0.0387410735404702
"X38",0.0469643409590203,0.0612674827046407,0.06432016216574
"X39",0.0453032890496836,0.0256062751637213,0.0384375083794525
"X40",0.0394439628487861,0.0441848284013595,0.0292710283099537
"X41",0.0396018930214273,0.068591695130493,0.0458385624951902
"X42",0.0380520211882643,0.0573974092616763,0.0419250825945282
"X43",0.0443262068808145,0.0598105011856892,0.0392330569459099
"X44",0.0415747743845052,0.0433353948532268,0.0414416587137093
"X45",0.0376819724064698,0.0570520671872637,0.0295132494458181
"X46",0.0327702893418653,0.0584364996175646,0.0438997258608511
"X47",0.0509354399193052,0.0429663197062958,0.0388676557299405
"X48",0.0540479083648332,0.0549375820985796,0.0371680003486039
"X49",0.0421304040112653,0.0445708808215783,0.0416282259190194
"X50",0.0374640864576171,0.0407113985423495,0.0393876945136024
"X51",0.042254623411563,0.0749026017928732,0.0483993276879895
"X52",0.0489698801725209,0.0571073832134505,0.0210336228855763
"X53",0.037469343148915,0.0542296639205445,0.0484000172855626
"X54",0.0387712994935145,0.0440958751365129,0.0340498996024279
"X55",0.0444435338117395,0.0539458708590701,0.0593089364105305
"X56",0.0337000456257981,0.0415019869590399,0.0253970746870898
"X57",0.0229128628310244,0.0486207929805259,0.040751046364192
"X58",0.0443339618513082,0.0548128384664012,0.0513158289850753
"X59",0.0474451024448135,0.0566576655651105,0.0471348215940911
"X60",0.0382730278699872,0.056265854381467,0.0397669782220379
"X61",0.0386662016997153,0.0543903490816275,0.0243428671614641
"X62",0.0485562663176155,0.0432131071678578,0.0329503230168097
"X63",0.0407183803733883,0.0429550056516827,0.0345802948504459
"X64",0.0410758385071281,0.0510291872913316,0.0304497249553016
"X65",0.0346727490683816,0.0579180438894644,0.0336801586964761
"X66",0.0467765710112326,0.0398350776830686,0.0418030719805812
"X67",0.030951266645823,0.038731548555373,0.037923325349744
"X68",0.0335134482766235,0.0481572392277349,0.0528384613146321
"X69",0.040308918005257,0.0491273900306523,0.0617360982720016
"X70",0.047816927565067,0.0576568716982807,0.0527065073402841
"X71",0.0486089967237788,0.0399167626161359,0.0508020623059961
"X72",0.0430011841052966,0.0596667253800059,0.0452412992696719
"X73",0.0426776130168059,0.0537384366168121,0.0356093425374948
"X74",0.0360028069478605,0.0497324916130208,0.037378576840208
"X75",0.0489009858444403,0.0357232952570562,0.0327182029770767
"X76",0.0394893936944588,0.0324113041156274,0.0259905935961665
"X77",0.0468089457180102,0.0598119211531499,0.0439512700072237
"X78",0.0210775370564637,0.0632215933494881,0.0369493389849057
"X79",0.0494654832297989,0.0446265363740878,0.0477242969387214
"X80",0.0420806668634077,0.056755612035905,0.0414919430110657
"X81",0.0496469826213619,0.0562180075938026,0.0436325658985037
"X82",0.0357677526008963,0.0536394604442052,0.0401285890320315
"X83",0.0314626768713284,0.0465873661104554,0.0336297907649228
"X84",0.017797668633041,0.0558848615842354,0.0429593171844893
"X85",0.0319720334075726,0.0596702983188745,0.040153802461595
"X86",0.041546736597715,0.0458902665797078,0.044011399433253
"X87",0.0492892564627368,0.0586415965031357,0.0372549051924813
"X88",0.0479119621238459,0.04746620892621,0.0442293156974745
"X89",0.0573161307847823,0.0527547425448513,0.040489017325152
"X90",0.0289612191745494,0.0626381783061162,0.0460095449055454
"X91",0.0346148833621544,0.0572124247530485,0.049404507550388
"X92",0.0339864082233959,0.0551618344689379,0.0439278562817002
"X93",0.0556758941908198,0.0588339233693076,0.0407621359415663
"X94",0.0331756009510179,0.0647013498191722,0.0516330951353923
"X95",0.0434391856963789,0.0240703940713899,0.027561598974321
"X96",0.0310653619365792,0.0436951964930613,0.0480606988966903
"X97",0.0395154870418714,0.0655145857839549,0.0564111733748374
"X98",0.0505531523740326,0.0422172667309425,0.0492891665258325
"X99",0.0314734462493409,0.0467112263810611,0.0252996217059398
"X100",0.0431546488864955,0.0516380717716087,0.0457465615535053
