"","scale.rs.","scale.cs.","scale.ps."
"X1",0.0255302054127328,0.00986792411771715,0.0391040549710719
"X2",0.0346239140441617,0.0240495001869581,0.038920288559166
"X3",0.0347091682136846,0.0083500740055627,0.0320040434174956
"X4",0.0354820657235899,0.00800219633585499,0.0401345712850878
"X5",0.0208826505891255,0.0139904316130187,0.0357391903416998
"X6",0.0146235747799268,0.0155900698500614,0.0298870978214596
"X7",0.02915153201295,0.00884342756857242,0.0413346064320268
"X8",0.0336538614330104,0.0190702195036111,0.0412056072917627
"X9",0.042472127718759,0.00726894163423138,0.0301541956245726
"X10",0.0373642795013075,0.0130422928685253,0.0381268884143298
"X11",0.0231011888801782,0.0108669274762421,0.0317545155945297
"X12",0.0332294926346985,0.0116487860447861,0.0294512974697352
"X13",0.0346407699822062,0.0140019850113464,0.0413663848526961
"X14",0.0270544076937654,0.00878603464094389,0.0332790569637238
"X15",0.0284566364544282,0.0134579279609069,0.0370551001322688
"X16",0.0296234801478388,0.0119299248645909,0.0327635225729888
"X17",0.0304790039062849,0.0130834959843502,0.0223793817475998
"X18",0.0218518330272465,0.00378847954772838,0.0301802084108453
"X19",0.0177429372880642,0.0177122333773425,0.0449398435464882
"X20",0.031711127751492,0.00751206930777447,0.0333792261960526
"X21",0.0259565187051639,0.00287566665258912,0.0352226824289518
"X22",0.033111569738501,0.00162066114488763,0.0341412988411923
"X23",0.0200617223680912,0.00706856098172243,0.031667984997521
"X24",0.0280954363501957,0.0190929719389231,0.0101333085974784
"X25",0.0245060740336043,0.0106398032052473,0.03485381220059
"X26",0.0277458996768388,0.00772918629054311,0.0304069782839763
"X27",0.0184509379508943,0.00569128486368428,0.0358072551103064
"X28",0.0357307885596968,0.0199798488753832,0.0481121288531174
"X29",0.0300360095460795,0.00350711564320919,0.0303968040545214
"X30",0.0259360872038237,-0.00727569070748155,0.0333006696215283
"X31",0.024561557478158,0.0101598241122557,0.02521593970919
"X32",0.0342474866145834,0.00408196451716807,0.0461830075420497
"X33",0.0284136704231992,0.00467447694964327,0.0291103882060424
"X34",0.036517796648411,0.0117596927856629,0.034328498095834
"X35",0.0245855382151857,0.0110051114191151,0.035019183954611
"X36",0.0288913464892299,0.00756889375553789,0.0283380849948851
"X37",0.0307754211497172,0.000717946322107715,0.0341229117952093
"X38",0.0248542545195545,0.00235661214347089,0.0401955579369034
"X39",0.0354532302255016,0.00549996158311009,0.0378826301226424
"X40",0.0414548320369109,0.0146379600337951,0.0443320907418041
"X41",0.0253173834535049,0.012035663345732,0.0438640023818662
"X42",0.0288443644983573,0.00665691883137543,0.022104630585933
"X43",0.0262121275666009,-0.00502724226826311,0.0326149645785137
"X44",0.0217341245866749,0.0108790708676661,0.0324066182757124
"X45",0.0307728716213926,0.014924342508071,0.0230762734034038
"X46",0.0372107265320578,0.0161915446983876,0.03014309886339
"X47",0.0383324278743832,0.018585222815616,0.0441791563414306
"X48",0.032367303738641,0.0143621261325854,0.0465338690817037
"X49",0.0262085415182129,0.0126221747701023,0.0343945997970487
"X50",0.0241871538971856,0.0274750037501582,0.0424107460836334
"X51",0.0313198736707778,0.0137099617686187,0.0327325125225824
"X52",0.0184960978464987,0.0148959663211881,0.0349692187060922
"X53",0.0176002599484514,0.00271429794784477,0.0329009596092306
"X54",0.0288124409050898,0.0126400011140463,0.0321754639614595
"X55",0.0335438448198267,0.00943018307318475,0.0496988305103242
"X56",0.0397961973701518,0.0228181303925288,0.0220762787584939
"X57",0.0331921637789272,0.0175421950346271,0.0237063733820491
"X58",0.0346930840486294,0.0104490105945645,0.0217868702544743
"X59",0.0371876837241722,0.00902603897565147,0.0308922661613534
"X60",0.031479475132644,0.0119627746623212,0.0295783800159894
"X61",0.0301636354462656,0.00787709502779639,0.0371651321141111
"X62",0.0210561642720032,0.0110105790150188,0.0274368106641625
"X63",0.031253678239787,0.018814620347142,0.0377222015268803
"X64",0.038196832862057,0.00557190072205316,0.0355426399513833
"X65",0.0311748301879442,0.00537735381439761,0.0454573937416038
"X66",0.0217518510827844,0.00999425564551447,0.0357942707229949
"X67",0.0262650322331522,0.0223909507457661,0.026405206845653
"X68",0.030731884485807,0.00335344772219,0.0268867473561886
"X69",0.0288182755505453,0.0146221404368026,0.0200621263484288
"X70",0.0357593901032631,0.013499702025397,0.0615236521621101
"X71",0.0462500198946224,0.00534877187685957,0.0434228092689868
"X72",0.0276288578540513,0.00693431514812008,0.032356254110503
"X73",0.0327162168868388,0.016640074255905,0.0381968014637094
"X74",0.0323569139385221,0.0098977007166501,0.0316337311006321
"X75",0.0260047588576992,0.0113968297931383,0.0317203636820086
"X76",0.0309120042589359,0.00333041136335507,0.0259196070178843
"X77",0.0243665211051896,0.0124174403960713,0.0377538977105335
"X78",0.0359716594048602,0.0129678635110356,0.0242228715264989
"X79",0.0280564535609017,0.00272650239354939,0.0291278129555791
"X80",0.0271109352568908,0.013790941456355,0.0366828515835756
"X81",0.0319579559784268,0.0103865292187522,0.039731103439738
"X82",0.0304571945198848,0.0119442725942921,0.032347578807286
"X83",0.0274016765005195,0.0116944499986648,0.0314284784273318
"X84",0.024966001290267,-0.00704330259144776,0.0352555366151477
"X85",0.0245526285958115,0.00455932934860418,0.0370168377457286
"X86",0.0323874777417522,0.0106629528077145,0.0358726864366145
"X87",0.0309702929637334,0.0131794253279524,0.041044857858282
"X88",0.0350215870335883,0.0120234295301493,0.0302084643548781
"X89",0.0331362258688409,0.0130979094596264,0.0428109888544594
"X90",0.0356701672294448,0.0188518891153857,0.02570314239103
"X91",0.0262382626052973,0.00174569518012974,0.0297857152865747
"X92",0.0440077652353484,-0.00142270510412688,0.0369380313863675
"X93",0.0349033707640228,2.42116181506333e-05,0.0243311528860811
"X94",0.0254158075952141,0.0043035137398252,0.0393992583014062
