"","exp"
"1",1.54841569098473
"2",1.54865404647871
"3",1.54604486742585
"4",1.54909147585949
"5",1.55169754050229
"6",1.55259998206473
"7",1.54690925029223
"8",1.54699369433363
"9",1.54641590057238
"10",1.55111112041834
"11",1.55131552633425
"12",1.54426620488699
"13",1.54893685445715
"14",1.5511191074058
"15",1.55077847026939
"16",1.55423962928331
"17",1.55445264605842
"18",1.5488448375574
"19",1.54764799564311
"20",1.54968372201468
"21",1.54857938763396
"22",1.54381504307137
"23",1.54706350779597
"24",1.54318491324756
"25",1.55050628399737
"26",1.55545225970383
"27",1.54989757106546
"28",1.54691580068809
"29",1.54638935910195
"30",1.55379440107115
"31",1.5452583671637
"32",1.55175524617905
"33",1.54869914651391
"34",1.55247760570346
"35",1.55069084629582
"36",1.5530931454151
"37",1.55018291505885
"38",1.55150386979295
"39",1.54490644258871
"40",1.5506459174655
"41",1.54460642265199
"42",1.54849799328699
"43",1.54660905712543
"44",1.54439295999002
"45",1.54947922317249
"46",1.54741168208817
"47",1.54886455007553
"48",1.54294210544576
"49",1.55006472447247
"50",1.54963783798368
"51",1.54971792989679
"52",1.5486161564602
"53",1.54547626443892
"54",1.54893064276798
"55",1.54935990887254
"56",1.55164596554082
"57",1.55006636011186
"58",1.54485076013169
"59",1.55020764599399
"60",1.55286724043329
"61",1.54938181395126
"62",1.5426738363554
"63",1.54827099674685
"64",1.54982388482301
"65",1.54343293928399
"66",1.55031263536459
"67",1.54107600699357
"68",1.54886408536838
"69",1.54576566731145
"70",1.54674254930222
"71",1.54797110374059
"72",1.54830617666497
"73",1.55005721244906
"74",1.54954703273372
"75",1.55303094758998
"76",1.55294395161383
"77",1.54808179673318
"78",1.54413752528188
"79",1.54460435824289
"80",1.54564736736726
"81",1.54850471420681
"82",1.54938896498208
"83",1.54580055740323
"84",1.55009047281306
"85",1.54738404009549
"86",1.54600512275088
"87",1.54767876196983
"88",1.54593509632427
"89",1.54936114522382
"90",1.54543198984671
"91",1.54984838837932
"92",1.54670497957084
"93",1.54948762832637
"94",1.54542956924715
"95",1.54822198354682
"96",1.54506840879684
"97",1.54889908426603
"98",1.54344337777167
"99",1.55161082308998
"100",1.55095811782953
