"obs","date","hour","period","cage","video","camera","scorer","is.fasting.trial","fasted.bats","actor","receiver","behav","h.start","min.start","sec.start","h.end","min.end","sec.end","duration","notes","switch","latency"
"2019.06.23_0100 cnone_cdw g",2019-06-23,"0100",1561266835,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cdw","g",1,13,55,1,14,18,23,NA,0,0
"2019.06.23_0100 cdw_cnone g",2019-06-23,"0100",1561266842,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cdw","cnone","g",1,14,2,1,14,16,14,NA,0,0
"2019.06.23_0100 cnone_cdw g",2019-06-23,"0100",1561266865,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cdw","g",1,14,25,1,15,30,65,NA,0,0.5
"2019.06.23_0100 cnone_cdw g",2019-06-23,"0100",1561266937,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cdw","g",1,15,37,1,18,27,170,"possible mouthlicking, obscured by wing (I don't think there's mouthlicking - imran)",0,1.7
"2019.06.23_0100 cdw_cnone g",2019-06-23,"0100",1561266948,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cdw","cnone","g",1,15,48,1,18,31,163,"possible mouthlicking, obscured by wing",0,1.76666666666667
"2019.06.23_0100 cldw_cnone g",2019-06-23,"0100",1561267139,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cldw","cnone","g",1,18,59,1,21,28,149,NA,0,0
"2019.06.23_0100 cnone_cldw g",2019-06-23,"0100",1561267140,"big_cage","CH03_2019-06-23_01_11_05__01_19_27",3,"david",FALSE,"none","cnone","cldw","g",1,19,0,1,21,28,148,NA,1,5.08333333333333
"2019.06.23_0100 cldw_cnone g",2019-06-23,"0100",1561267311,"big_cage","CH03_2019-06-23_01_19_27__01_27_49",3,"david",FALSE,"none","cldw","cnone","g",1,21,51,1,28,15,384,"long event with pauses, >5sec",0,2.86666666666667
"2019.06.23_0100 cnone_cldw g",2019-06-23,"0100",1561267311,"big_cage","CH03_2019-06-23_01_19_27__01_27_49",3,"david",FALSE,"none","cnone","cldw","g",1,21,51,1,28,15,384,"long event with pauses, >5sec",0,2.85
"2019.06.23_0300 add_cnone g",2019-06-23,"0300",1561273674,"big_cage","CH03_2019-06-23_02_59_59__03_01_19.mp4",3,"imran",FALSE,"none","add","cnone","g",3,7,54,3,8,36,42,NA,0,0
