"","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14"
"M581",0.155224256588529,0.20812481048192,0.273223002003582,0.349691188706916,0.434758486010906,0.523849898341999,0.611448857978074,0.692395187190051,0.763014026747386,0.821597727073965,0.868200906517491,0.904051858747891,0.930926768405291,0.950684687492982
"M539",0.180334638211956,0.239368015645425,0.310407906802272,0.391674605250631,0.479425611735971,0.568464827223244,0.653288290840365,0.729376077826177,0.794030510171626,0.846489432273925,0.887480776592745,0.918579191830208,0.941647660670965,0.958475731105708
"M623",0.181900035359853,0.24129499950659,0.312671696165231,0.394192277719442,0.482060361605879,0.571052129236521,0.655675070635308,0.731454379563666,0.795751330146558,0.847855950796046,0.888530450046108,0.919365112299622,0.942224916102592,0.958893780567421
"M523",0.184403337180858,0.24437153283717,0.316278915367556,0.398195123025962,0.486239312647012,0.575145872369617,0.659442834579474,0.734728411968568,0.798457462829399,0.850001867773139,0.890176983935726,0.920596884934538,0.943129085467812,0.959548284762919
"M573",0.197156533820985,0.259950223268758,0.334412952681823,0.418153435308673,0.506893595239586,0.59520150206089,0.677748738645755,0.750518501099852,0.811427732623628,0.860235639473822,0.897998690363277,0.926431109106811,0.947402323641518,0.962636672258552
"M533",0.201886736540514,0.265688409368023,0.341037373682219,0.425376526256959,0.514294652088392,0.602316996758531,0.684183139028767,0.756022957250462,0.815917929548345,0.863758780317957,0.900679816627222,0.92842445133309,0.948858819471167,0.963687479009157
"M574",0.201909882150872,0.26571643434946,0.341069654936439,0.425411636938778,0.514330532856067,0.602351402703485,0.684214175612723,0.756049451138681,0.815939502818607,0.863775683015912,0.90069266537113,0.928433996032473,0.948865789299346,0.96369250522826
"M791",0.206833918854573,0.271666860360926,0.347908008022989,0.432830237824639,0.521891345633256,0.609582084287187,0.690720603625989,0.761591514462889,0.820444112660878,0.867299972380318,0.903368713740536,0.930420244188725,0.950315318184301,0.964737352865777
"M838",0.208858293931433,0.274106493459953,0.350702629620604,0.435851067962023,0.524958436526811,0.612504311701881,0.693341036361955,0.763816801499998,0.822248283865969,0.868708678155876,0.904436713280127,0.931212027965519,0.950892654833804,0.965153250366717
"M801",0.217328331756418,0.28427182270431,0.362290822099012,0.44831018011182,0.537537701446539,0.624423896101887,0.703975806852889,0.772808371751165,0.829511870682249,0.874363812412394,0.908714639861491,0.934378312792451,0.953198576580613,0.966812911565296
"M530",0.250456617289984,0.323388250683542,0.406052243379275,0.494406467708407,0.583111448609853,0.666743706605292,0.741049087587284,0.803665424682031,0.854121241191314,0.893331493145571,0.922953252486075,0.944856839884713,0.960797953194321,0.972265981658811
"M979",0.253681107398536,0.327141883913368,0.410183696129496,0.498682110831213,0.587263176565773,0.670533144197761,0.744317613191956,0.806350129841178,0.856239423954179,0.894950360678089,0.924160726988026,0.94574122234305,0.96143710757931,0.972723468221153
"M595",0.258632900525969,0.332888020548725,0.416485589334219,0.50517911092939,0.593547857672168,0.676248885715708,0.749232023692229,0.810375984193421,0.859408947349892,0.897368714138556,0.925962257961261,0.947059483786082,0.962389190169643,0.973404608924907
"M598",0.259533080575321,0.333930236792462,0.417625687224781,0.506351315257286,0.594678681992115,0.677274725395135,0.750112061999772,0.81109554700429,0.859974595873104,0.89779979885601,0.926283106644879,0.947294109907565,0.962558562787183,0.973525740446493
"M591",0.27091527811101,0.347046004854161,0.431897184664002,0.520942644407843,0.608676915612066,0.689907857278563,0.7609005391249,0.819883368612799,0.866861811267969,0.903036332938946,0.930173719788015,0.95013550521757,0.964607790573649,0.974990313648255
"M631",0.27171304566057,0.347960962489162,0.432887537393719,0.521949585230886,0.609637631811783,0.690770463129801,0.761633891557126,0.820478494575361,0.867326833060127,0.903389086778961,0.930435353069975,0.950326337597861,0.964745292322454,0.975088520133299
"M984",0.278310166788862,0.355505680248761,0.441028174246343,0.530199237714518,0.617483045292141,0.697793594700887,0.767589088862094,0.825300765266957,0.871088394672267,0.906238737719772,0.932546809293476,0.951865287657253,0.965853576840293,0.975879779206091
"F788",0.281699513473821,0.35936700747043,0.445176775819325,0.534384735056305,0.621446131210528,0.701327082405398,0.770574819578533,0.82771149931071,0.872964546290319,0.907657549478926,0.933596692796898,0.95262976010029,0.966403729383291,0.976272362290965
"M593",0.281924802670755,0.359623313049635,0.445451727387115,0.534661688772548,0.621707958576748,0.701560192834816,0.77077154825862,0.827870178309478,0.873087937394978,0.90775080379874,0.93366566625805,0.952679965859378,0.966439850970206,0.976298133683323
"F583",0.282839075989014,0.360663002930326,0.446566515224704,0.535784030951168,0.622768482671044,0.702503976044962,0.771567724627415,0.82851215862922,0.873587023853555,0.908127920988547,0.933944551911817,0.952882944954845,0.966585877254928,0.976402312172082
"F789",0.285644113097948,0.363848277505493,0.449976496363434,0.53921151902589,0.626002039017936,0.705377398097267,0.773988691216307,0.830462227422809,0.875101794726258,0.909271783886982,0.934790063268192,0.95349811430798,0.96702832906435,0.976717910954026
"F963",0.295896301484748,0.375432172361295,0.462309722310011,0.551538010367042,0.637567360876303,0.715603280556941,0.782567248415026,0.837347715423702,0.880435341129197,0.913290745349404,0.937756028506069,0.95565354196474,0.968577279950346,0.977822101967984
"F835",0.296508207386158,0.376120694859772,0.463039451090763,0.552263921753818,0.638245355517891,0.71620027510198,0.78306628775848,0.837747093659682,0.880743989375734,0.913522910052732,0.937927139413576,0.955777772158177,0.968666493198248,0.977885667218078
